id,user_id,emulator_id,ip,phone_number,country_code,city,country,vpn_provider,sms_provider,result,error_message,device_type,os_version,timestamp,emulator_time,activation_country_time,vpn_country_time,failure_reason,cost
1,emp123,emu456,192.168.1.1,1234567890,113,,,,SMS Activate,1,,mobile,android_10,2024-05-28 08:45:31.120000+00:00,,,,,0.0
2,a43085dd-1185-4e42-87a7-54dc9c866d45,46d1c824-f1aa-42a3-8e15-7f22eb3a0ceb,218.149.176.0,4092895529,105,Castillomouth,San Marino,"Walker, Moore and Mccoy",SMS Activate,0,Allow visit in artist away responsibility.,desktop,ios_14,2024-04-11 12:27:58+00:00,2024-01-24 03:11:34+00:00,2024-03-27 20:34:27+00:00,2024-01-24 22:07:27+00:00,Age risk final city.,88.47
3,a43085dd-1185-4e42-87a7-54dc9c866d45,46d1c824-f1aa-42a3-8e15-7f22eb3a0ceb,162.1.176.92,892-487-5446x86837,66,Whitakerside,Serbia,Davis PLC,SMS Activate,0,Thousand development word ask up.,tablet,windows_10,2024-02-19 01:31:58+00:00,2024-03-20 17:57:28+00:00,2024-01-25 14:57:33+00:00,2024-05-20 15:18:19+00:00,Character continue line thus without cover sit onto.,58.54
4,a43085dd-1185-4e42-87a7-54dc9c866d45,46d1c824-f1aa-42a3-8e15-7f22eb3a0ceb,78.242.181.21,(919)232-5767x1118,81,Elizabethborough,Somalia,"Johns, Stokes and Wyatt",SMS Activate,1,,desktop,windows_10,2024-01-28 02:07:41+00:00,2024-03-31 00:46:18+00:00,2024-02-29 04:16:26+00:00,2024-02-10 22:47:03+00:00,,15.17
5,a43085dd-1185-4e42-87a7-54dc9c866d45,46d1c824-f1aa-42a3-8e15-7f22eb3a0ceb,199.226.156.210,(976)222-0433,114,South Virginiashire,Tokelau,Lee-Scott,SMS Activate,0,Huge again decide enough trip.,mobile,ios_14,2024-02-25 00:34:11+00:00,2024-04-03 02:06:22+00:00,2024-03-01 01:25:08+00:00,2024-02-24 05:12:56+00:00,Strong they western ok little score.,91.2
6,a43085dd-1185-4e42-87a7-54dc9c866d45,46d1c824-f1aa-42a3-8e15-7f22eb3a0ceb,194.217.41.7,001-206-939-6660x6084,40,Katherineborough,Nauru,Campbell Ltd,SMS Activate,1,,desktop,windows_10,2024-05-22 05:10:50+00:00,2024-04-17 01:30:14+00:00,2024-05-04 05:50:54+00:00,2024-03-17 01:30:02+00:00,,2.86
7,382e852d-9d6a-4560-b121-6ebce55616b1,f5c55895-dcf1-43a1-8627-57526356480e,2.51.24.174,683-979-1006x026,116,South Peggyshire,Netherlands,"Collins, Park and Russell",SMS Activate,1,,tablet,android_10,2024-03-21 14:58:01+00:00,2024-02-04 07:25:31+00:00,2024-02-22 19:55:01+00:00,2024-02-07 21:14:16+00:00,,31.26
8,382e852d-9d6a-4560-b121-6ebce55616b1,f5c55895-dcf1-43a1-8627-57526356480e,80.123.105.151,001-892-865-6283,3,Carolineville,Syrian Arab Republic,Berry PLC,SMS Activate,0,Fear easy the ok everyone brother visit.,mobile,ios_14,2024-01-10 03:50:53+00:00,2024-01-03 13:44:43+00:00,2024-04-12 14:54:12+00:00,2024-02-23 16:09:54+00:00,Act public finally system goal.,37.11
9,382e852d-9d6a-4560-b121-6ebce55616b1,f5c55895-dcf1-43a1-8627-57526356480e,179.220.12.102,414-653-0053,26,South Brianna,Western Sahara,Henderson-Richards,SMS Activate,1,,desktop,windows_10,2024-02-26 05:33:47+00:00,2024-02-12 03:03:39+00:00,2024-04-11 19:13:08+00:00,2024-02-17 00:36:42+00:00,,82.0
10,382e852d-9d6a-4560-b121-6ebce55616b1,f5c55895-dcf1-43a1-8627-57526356480e,176.23.17.164,(370)655-6717x677,97,Deborahborough,Ukraine,Sullivan LLC,SMS Activate,1,,mobile,android_10,2024-02-16 18:57:14+00:00,2024-04-23 02:56:18+00:00,2024-04-28 11:07:23+00:00,2024-01-29 10:51:47+00:00,,98.49
